model_id,filename,base_architecture,specification,modification,estimator,outcomes_tested,status,location,production_ready,notes
FC-CORE-B-BASELINE,sem_fc_core_B_*_baseline_lavaan.rds,Faircloth,Core Model B,none,Lavaan + Blavaan,OF01SCALE|OF0201numlog|OF0202numlog|OFSpenderbin|All4,BASELINE,cache,YES,Ground truth Faircloth model
FC-FIRST-ORDER-BASELINE,sem_fc_first_order_*_baseline_lavaan.rds,Faircloth,First-Order,none,Lavaan + Blavaan,OF01SCALE|OF0201numlog|OF0202numlog|OFSpenderbin|All4,BASELINE,cache,YES,Faircloth with first-order latent structure
FC-HIGHER-ORDER-BASELINE,sem_fc_higher_order_*_baseline_lavaan.rds,Faircloth,Higher-Order,none,Lavaan + Blavaan,OF01SCALE|OF0201numlog|OF0202numlog|OFSpenderbin|All4,BASELINE,cache,YES,Faircloth with hierarchical structure
BO-ORIGINAL-BASELINE,sem_bo_original_*_baseline_lavaan.rds,Boenigk,Original,none,Lavaan + Blavaan,OF01SCALE|OF0201numlog|OF0202numlog|OFSpenderbin|All4,BASELINE,cache,YES,Ground truth Boenigk original model
BO-NETWORK-BASELINE,sem_bo_network_*_baseline_lavaan.rds,Boenigk,Network,none,Lavaan + Blavaan,OF01SCALE|OF0201numlog|OF0202numlog|OFSpenderbin|All4,BASELINE,cache,YES,Boenigk with alternative network specification
FC-ORDINAL-AWARE,sem_fc_core_B_MODIFIED_ordinal_aware_*_lavaan.rds,Faircloth,Core Model B,ordinal_awareness,Lavaan,OFSpender,COMPLETED,cache,TESTING,Replace binary RC with ordinal RC_Awareness (3-level scale)
BO-NO-MODERATION,sem_bo_network_MODIFIED_no_moderation_*_lavaan.rds,Boenigk,Network,no_moderation,Lavaan,OF0201numlog|OF0202numlog|OF01SCALE,PLANNED,cache,NOT_YET,Remove awareness as moderator; test direct segmentation
CHATZI-FC-4STAGE,chatzi_fc_4stage_baseline_lavaan.rds,Faircloth,4-Stage Chatzipanagiotou,chatzipanagiotou_4stage,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,PRODUCTION,4-stage brand relationship process model (Awareness→Perception→Commitment→Intention)
CHATZI-BO-4STAGE,chatzi_bo_4stage_baseline_lavaan.rds,Boenigk,4-Stage Chatzipanagiotou,chatzipanagiotou_4stage,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,PRODUCTION,4-stage model with Boenigk Trust + Commitment
CHATZI-HYBRID-3STAGE,chatzi_hybrid_3stage_baseline_lavaan.rds,Hybrid,3-Stage Chatzipanagiotou,chatzipanagiotou_3stage,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,TESTING,Optimized 3-stage (skip weak Intention link; direct Relationship→Behavior)
CHATZI-HYBRID-4STAGE,chatzi_hybrid_4stage_baseline_lavaan.rds,Hybrid,4-Stage Chatzipanagiotou,chatzipanagiotou_4stage,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,TESTING,Hybrid with Boenigk Trust + Faircloth Resonance
CHATZI-FC-VALIDATED,chatzi_fc_validated_npodashboard_lavaan.rds,Faircloth,Chatzipanagiotou,validated_npodashboard,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,PRODUCTION,4-stage with validated npodashboard latent names (COG_ACCESS|EVAL_IMAGE|REL_CORE|INTENTION)
CHATZI-BO-VALIDATED,chatzi_bo_validated_npodashboard_lavaan.rds,Boenigk,Chatzipanagiotou,validated_npodashboard,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,PRODUCTION,4-stage Boenigk with validated variable names
CHATZI-FC-VALIDATED-FINAL,chatzi_fc_validated_final_npodashboard_lavaan.rds,Faircloth,Chatzipanagiotou,validated_npodashboard_final,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,TESTING,Faircloth validated - final iteration
CHATZI-BO-VALIDATED-FINAL,chatzi_bo_validated_final_npodashboard_lavaan.rds,Boenigk,Chatzipanagiotou,validated_npodashboard_final,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,TESTING,Boenigk validated with organization clustering
CHATZI-HYBRID-VALIDATED,chatzi_hybrid_validated_npodashboard_lavaan.rds,Hybrid,Chatzipanagiotou,validated_npodashboard,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,PRODUCTION,Hybrid validated - combines FC Resonance + BO Trust
CHATZI-FC-ORG-PROOF,chatzi_fc_org_proof_lavaan.rds,Faircloth,Chatzipanagiotou,org_proof_clustering,Lavaan,OF0201numlog|OF0202numlog,FAILED,outputs,NOT_USABLE,Failed convergence - latent variable definition issues
CHATZI-BO-ORG-PROOF,chatzi_bo_org_proof_BASELINE_VALIDATED_CLUSTERING.rds,Boenigk,Chatzipanagiotou,org_proof_clustering,Lavaan,OF0201numlog|OF0202numlog,COMPLETED,outputs,PRODUCTION,✓ ORGANIZATION-PROOF: Δ CFI = 0.0000 (standard vs clustered) - clustering validated
